Dataset,Algorithm,Clusters Found,ARI,Time (s)
Original (10D),k-Means (k=5),5,0.2547,0.0358
Original (10D),Agglomerative (k=5),5,0.2236,0.0021
Original (10D),Mean Shift,3,0.1389,0.4369
Original (10D),DBSCAN,3,0.0099,0.0025
Original (10D),HDBSCAN,6,0.2484,0.0088
Original (10D),OPTICS,20,0.3357,0.1998
Original (10D),Affinity Propagation,8,0.2458,0.0158
Original (10D),Spectral Clustering (k=5),5,0.1712,0.0506
PCA 2D,k-Means (k=5),5,0.2315,0.0026
PCA 2D,Agglomerative (k=5),5,0.3265,0.0014
PCA 2D,Mean Shift,3,0.1156,0.4084
PCA 2D,DBSCAN,3,0.0099,0.0018
PCA 2D,HDBSCAN,6,0.2279,0.0034
PCA 2D,OPTICS,15,0.2571,0.1609
PCA 2D,Affinity Propagation,8,0.3413,0.0087
PCA 2D,Spectral Clustering (k=5),5,0.2139,0.0066
PCA 3D,k-Means (k=5),5,0.2547,0.0022
PCA 3D,Agglomerative (k=5),5,0.2777,0.0011
PCA 3D,Mean Shift,3,0.1335,0.5523
PCA 3D,DBSCAN,3,0.0099,0.0051
PCA 3D,HDBSCAN,5,0.2341,0.0037
PCA 3D,OPTICS,18,0.2665,0.16
PCA 3D,Affinity Propagation,8,0.2962,0.0075
PCA 3D,Spectral Clustering (k=5),5,0.1712,0.015
PCA Opt (2D),k-Means (k=5),5,0.2315,0.0027
PCA Opt (2D),Agglomerative (k=5),5,0.3265,0.0012
PCA Opt (2D),Mean Shift,3,0.1156,0.4194
PCA Opt (2D),DBSCAN,3,0.0099,0.0026
PCA Opt (2D),HDBSCAN,6,0.2279,0.0059
PCA Opt (2D),OPTICS,15,0.2571,0.1675
PCA Opt (2D),Affinity Propagation,8,0.3413,0.0142
PCA Opt (2D),Spectral Clustering (k=5),5,0.2139,0.0099
